Year,CPI
1979-01-01,0.44790399999999997
1980-01-01,0.508253
1981-01-01,0.553987
1982-01-01,0.623294
1983-01-01,0.739278
1984-01-01,0.8274440000000001
1985-01-01,0.918911
1986-01-01,1.04621
1987-01-01,1.41773
1988-01-01,1.79162
1989-01-01,1.77417
1990-01-01,2.18577
1991-01-01,2.45206
1992-01-01,3.33656
1993-01-01,3.94958
1994-01-01,6.5549
1995-01-01,11.4678
1996-01-01,12.2384
1997-01-01,14.0928
1998-01-01,21.5607
1999-01-01,27.6755
2000-01-01,37.4859
2001-01-01,42.841
2002-01-01,47.7593
2003-01-01,52.4511
2004-01-01,59.6344
2005-01-01,69.5033
2006-01-01,76.5572
2007-01-01,82.3241
2008-01-01,90.5032
2009-01-01,97.3629
2010-01-01,103.478
2011-01-01,113.60600000000001
2012-01-01,152.888
2013-01-01,183.505
2014-01-01,227.75
2015-01-01,284.393
2016-01-01,341.168
2017-01-01,365.31300000000005
